g1,g2,g3,g4,g5,method,id,N0
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,1.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
1.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,1.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,1.0,bnp,1,50
0.0,0.0,0.0,0.0,1.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,1.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,1.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,1.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
0.0,0.0,0.0,0.0,0.0,bnp,1,50
1.0,0.0,0.0,0.0,0.0,bnp,1,50
