x1,x2,x3,x4,x5,x6
true,false,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,false,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,false,false,false,false,false
